---,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16
Row1,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Row2,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Row3,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Row4,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Row5,Empty,Empty,Empty,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Empty,Empty,Empty,Empty,Empty,Empty
Row6,Empty,Empty,Empty,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Empty,Empty,Empty,Empty,Empty,Empty
Row7,Basic,Basic,Basic,Basic,Empty,Empty,Empty,Empty,Empty,Basic,Basic,Basic,Empty,Empty,Empty,Empty
Row8,Basic,Basic,Basic,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Basic,Basic,Empty,Empty,Empty,Empty
Row9,Basic,Basic,Basic,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Basic,Basic,Empty,Empty,Empty,Empty
Row10,Basic,Start,Basic,Empty,Empty,Basic,Basic,Basic,Basic,Orange,Orange,Orange,Orange,Orange,Empty,Empty
Row11,Basic,Basic,Basic,Empty,Empty,Basic,Basic,Basic,Basic,Orange,Orange,Orange,Orange,Orange,Empty,Empty
Row12,Empty,Empty,Empty,Empty,Empty,Basic,Exit,Basic,Empty,Empty,Orange,Orange,Basic,Orange,Empty,Empty
Row13,Empty,Empty,Empty,Empty,Empty,Basic,Basic,Basic,Empty,Empty,Orange,Orange,Orange,Orange,Empty,Empty
Row14,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Row15,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Row16,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
